"camml_fixedPrior","camml_noPrior","mmhc_bnlearn","tabu_bde_bnlearn"
2,3,10,4
2,2,10,5
1,2,9,3
3,1,9,6
3,1,11,8
0,0,7,1
1,1,13,2
0,2,10,0
0,6,7,1
0,0,9,1
1,0,6,4
1,1,3,1
1,0,2,12
1,1,3,4
1,0,3,1
1,2,3,2
0,0,4,2
0,1,3,1
0,1,3,6
0,1,4,1
0,0,8,3
0,0,8,5
1,1,5,6
1,1,4,3
1,1,5,4
23,28,23,23
27,25,24,24
24,20,22,23
19,22,21,21
23,24,22,22
15,18,15,15
17,18,16,16
12,14,12,12
12,16,13,11
14,18,15,15
13,15,9,13
14,16,10,10
15,16,12,11
13,13,10,6
16,14,12,12
15,15,15,14
19,17,15,14
15,17,15,13
21,20,17,24
18,16,17,16
24,26,21,21
24,23,21,19
25,28,25,23
23,27,23,26
22,25,25,23
1,0,26,6
2,0,26,5
1,0,24,2
1,1,23,3
2,0,28,8
3,5,11,4
4,4,10,10
3,3,8,1
4,5,9,9
3,5,7,9
4,3,23,8
5,2,22,8
7,3,22,11
5,2,19,8
2,2,21,6
3,5,13,10
5,6,13,9
6,5,12,5
2,4,10,3
1,6,11,0
6,2,21,6
3,3,25,7
4,2,24,7
2,2,24,8
2,2,24,6
26,27,27,26
27,35,28,27
31,30,27,28
25,29,26,30
30,34,27,26
37,38,38,42
37,43,38,38
39,47,40,43
44,42,39,37
39,40,38,38
40,45,41,39
41,44,37,40
37,45,38,35
41,43,40,40
39,44,42,39
35,44,37,34
30,36,36,38
28,35,36,31
33,40,33,30
30,37,33,30
26,32,25,26
26,33,23,27
23,29,21,21
25,31,24,24
25,28,25,26
